index src_type src_gid src_vis_x src_vis_y presyn_type N_syn
21 transient_ON 2534 121.721 76.539 LGN_exc 30
21 transient_ON 2688 122.170 82.361 LGN_exc 30
21 transient_ON 2746 121.069 74.240 LGN_exc 30
22 transient_ON_OFF 6100 117.381 70.170 LGN_exc 30
22 transient_OFF 3276 107.166 75.667 LGN_exc 30
22 transient_OFF 3434 107.381 68.261 LGN_exc 30
22 transient_OFF 4090 110.748 66.201 LGN_exc 30
22 transient_OFF 4174 112.931 70.871 LGN_exc 30
22 transient_OFF 4589 108.122 64.256 LGN_exc 30
22 transient_OFF 5673 110.395 71.112 LGN_exc 30
22 transient_OFF 5688 111.695 64.358 LGN_exc 30
22 transient_OFF 5774 110.506 78.202 LGN_exc 30
22 transient_ON 588 122.883 74.256 LGN_exc 30
22 transient_ON 852 117.601 70.564 LGN_exc 30
22 transient_ON 1091 122.365 68.218 LGN_exc 30
22 transient_ON 1440 121.959 73.852 LGN_exc 30
22 transient_ON 1474 118.385 76.701 LGN_exc 30
22 transient_ON 1513 118.176 67.205 LGN_exc 30
22 transient_ON 2460 119.299 65.633 LGN_exc 30
22 transient_ON 2746 121.069 74.240 LGN_exc 30
23 transient_ON_OFF 6100 117.381 70.170 LGN_exc 30
23 transient_OFF 3178 113.743 80.427 LGN_exc 30
23 transient_OFF 3761 115.182 79.040 LGN_exc 30
23 transient_OFF 3767 116.655 74.835 LGN_exc 30
23 transient_OFF 4666 115.306 74.011 LGN_exc 30
23 transient_OFF 5279 116.033 78.737 LGN_exc 30
23 transient_OFF 5369 117.525 76.191 LGN_exc 30
23 transient_OFF 5765 115.831 61.777 LGN_exc 30
23 transient_OFF 5950 117.358 71.885 LGN_exc 30
23 transient_ON 289 125.671 80.795 LGN_exc 30
23 transient_ON 588 122.883 74.256 LGN_exc 30
23 transient_ON 1223 124.731 73.018 LGN_exc 30
23 transient_ON 1308 124.441 70.772 LGN_exc 30
23 transient_ON 1870 123.067 72.502 LGN_exc 30
23 transient_ON 2203 124.501 68.999 LGN_exc 30
23 transient_ON 2459 124.148 62.536 LGN_exc 30
23 transient_ON 2534 121.721 76.539 LGN_exc 30
24 transient_ON_OFF 6521 115.551 61.468 LGN_exc 30
24 transient_OFF 3578 108.745 54.423 LGN_exc 30
24 transient_OFF 4090 110.748 66.201 LGN_exc 30
24 transient_OFF 4995 106.073 69.149 LGN_exc 30
24 transient_OFF 5231 112.761 59.087 LGN_exc 30
