index src_type src_gid presyn_type N_syn
21 tw 61 tw_exc 1
21 tw 315 tw_exc 1
21 tw 1853 tw_exc 1
21 tw 147 tw_exc 1
21 tw 1937 tw_exc 1
21 tw 2003 tw_exc 1
21 tw 2814 tw_exc 1
21 tw 2157 tw_exc 1
21 tw 427 tw_exc 1
21 tw 1258 tw_exc 1
21 tw 801 tw_exc 1
21 tw 2613 tw_exc 1
21 tw 2872 tw_exc 1
21 tw 467 tw_exc 1
21 tw 2947 tw_exc 1
21 tw 1922 tw_exc 1
21 tw 351 tw_exc 1
22 tw 801 tw_exc 1
22 tw 2947 tw_exc 1
22 tw 2433 tw_exc 1
22 tw 834 tw_exc 1
22 tw 403 tw_exc 1
22 tw 66 tw_exc 1
22 tw 1833 tw_exc 1
22 tw 2799 tw_exc 1
22 tw 1467 tw_exc 1
22 tw 2299 tw_exc 1
22 tw 310 tw_exc 1
22 tw 2798 tw_exc 1
22 tw 346 tw_exc 1
22 tw 338 tw_exc 1
22 tw 2103 tw_exc 1
22 tw 2446 tw_exc 1
22 tw 775 tw_exc 1
22 tw 1176 tw_exc 1
22 tw 947 tw_exc 1
22 tw 383 tw_exc 1
22 tw 1258 tw_exc 1
23 tw 2616 tw_exc 2
23 tw 338 tw_exc 2
23 tw 1755 tw_exc 2
23 tw 315 tw_exc 2
23 tw 346 tw_exc 2
23 tw 2446 tw_exc 2
23 tw 2883 tw_exc 2
23 tw 1750 tw_exc 2
23 tw 61 tw_exc 2
23 tw 2299 tw_exc 2
23 tw 2157 tw_exc 2
23 tw 1841 tw_exc 2
23 tw 775 tw_exc 2
23 tw 645 tw_exc 2
23 tw 1176 tw_exc 2
23 tw 2003 tw_exc 2
23 tw 669 tw_exc 2
23 tw 1366 tw_exc 2
23 tw 519 tw_exc 2
24 tw 852 tw_exc 1
24 tw 338 tw_exc 1
24 tw 2299 tw_exc 1
24 tw 844 tw_exc 1
24 tw 178 tw_exc 1
24 tw 2964 tw_exc 1
24 tw 307 tw_exc 1
24 tw 834 tw_exc 1
24 tw 2741 tw_exc 1
24 tw 1841 tw_exc 1
24 tw 2334 tw_exc 1
24 tw 1560 tw_exc 1
24 tw 2182 tw_exc 1
